,Depth,Well,Formation,GR,RS,RD,NPHI,RHOB,DTCO,DTSM,Ef_pred,Facies_pred,Env_pred
150,4685.0,B-1,Vulcan Fm,101.2433,3.3421,3.1565,20.9,2.6355,85.5572,,1,1,4
151,4685.5,B-1,Vulcan Fm,95.3425,3.0553,2.9093,22.28,2.6608,80.5737,,1,1,4
152,4686.0,B-1,Vulcan Fm,99.6953,3.1369,2.97,21.9,2.6841,82.8644,,1,1,4
153,4686.5,B-1,Vulcan Fm,90.735,3.1482,2.9019,21.94,2.6892,83.762,,1,1,4
154,4687.0,B-1,Vulcan Fm,96.3855,2.9397,2.7672,21.52,2.6832,83.948,,1,1,4
155,4687.5,B-1,Vulcan Fm,107.4754,2.878,2.7404,23.18,2.7254,56.8323,,4,2,2
156,4688.0,B-1,Vulcan Fm,110.2166,2.8187,2.6725,20.94,2.6637,60.3124,,4,2,2
157,4688.5,B-1,Vulcan Fm,106.8468,2.8682,2.7689999999999997,18.85,2.6462,73.6581,,1,1,4
158,4689.0,B-1,Vulcan Fm,91.7684,2.8680000000000003,2.7887,18.75,2.6653,86.0953,,1,1,4
159,4689.5,B-1,Vulcan Fm,103.0758,3.1807,3.0986,20.95,2.6659,84.6736,,1,1,4
160,4690.0,B-1,Vulcan Fm,110.2469,3.1334,3.0799,19.82,2.6772,84.2892,,1,1,4
161,4690.5,B-1,Vulcan Fm,79.9723,2.9735,2.9551,21.38,2.6496,88.0502,,1,1,4
162,4691.0,B-1,Vulcan Fm,15.0496,2.8855,2.9096,14.93,2.6723,88.8128,,2,1,2
163,4691.5,B-1,Vulcan Fm,27.0259,11.5773,12.7215,6.24,2.734,89.0735,,2,1,2
164,4692.0,B-1,Vulcan Fm,50.383,13.5744,12.4508,7.84,2.7061,96.0812,,2,4,5
165,4692.5,B-1,Vulcan Fm,96.9724,4.1902,3.8089,15.17,2.6471,94.6942,,1,1,4
166,4693.0,B-1,Vulcan Fm,85.2382,2.2699,2.4356,29.76,2.6513,92.5122,,1,1,4
167,4693.5,B-1,Vulcan Fm,68.6288,1.8344,1.8286,29.38,2.6332,91.2439,,1,1,4
168,4694.0,B-1,Vulcan Fm,76.86,1.6571,1.6738,33.82,2.6388,96.1706,,1,1,4
169,4694.5,B-1,Vulcan Fm,67.0391,1.8351,1.8013,33.46,2.5860000000000003,95.9003,,1,1,4
