Depth,Well,Formation,GR,NPHI,RHOB,DTCO,DTSM,Environment
4680,P-2,Montara Fm,129.1928,26.1493,2.6423,83.4637,-999.25,1
4680.5,P-2,Montara Fm,127.9006,27.4036,2.6402,84.1582,-999.25,1
4681,P-2,Montara Fm,136.5105,25.3893,2.6351,84.0626,-999.25,1
4681.5,P-2,Montara Fm,134.4285,27.1674,2.6342,83.416,-999.25,1
4682,P-2,Montara Fm,138.6548,28.3453,2.6515,84.0269,-999.25,1
4682.5,P-2,Montara Fm,135.8996,27.9128,2.6276,85.3723,-999.25,1
4683,P-2,Montara Fm,136.422,29.4508,2.6124,85.3057,-999.25,1
4683.5,P-2,Montara Fm,151.1666,29.1315,2.6036,84.9166,-999.25,1
4684,P-2,Montara Fm,151.6958,23.372,2.6361,79.2143,-999.25,1
4684.5,P-2,Montara Fm,132.758,21.0452,2.6989,79.7487,-999.25,1
4685,P-2,Montara Fm,133.0875,18.7445,2.6853,79.6028,-999.25,1
4685.5,P-2,Montara Fm,131.062,18.0078,2.6752,80.9573,-999.25,1
4686,P-2,Montara Fm,143.4558,19.7588,2.6955,81.3524,-999.25,1
4686.5,P-2,Montara Fm,135.7502,20.5799,2.6943,82.0342,-999.25,1
4687,P-2,Montara Fm,149.7471,23.7395,2.6648,77.5723,-999.25,1
4687.5,P-2,Montara Fm,154.1744,25.6714,2.6585,78.4951,-999.25,1
4688,P-2,Montara Fm,140.7577,22.8918,2.7018,82.3386,-999.25,1
4688.5,P-2,Montara Fm,129.7945,22.2115,2.7224,79.862,-999.25,1
4689,P-2,Montara Fm,141.0569,23.4911,2.6968,79.2739,-999.25,1
4689.5,P-2,Montara Fm,140.3182,23.5997,2.6853,81.149,-999.25,1
4690,P-2,Montara Fm,131.1314,22.7862,2.7213,80.3644,-999.25,1
4690.5,P-2,Montara Fm,136.5836,23.0822,2.7012,78.9166,-999.25,4
4691,P-2,Montara Fm,138.5865,23.803,2.6905,78.9059,-999.25,4
4691.5,P-2,Montara Fm,136.8556,22.8784,2.7204,79.0921,-999.25,4
4692,P-2,Montara Fm,136.648,23.0731,2.6939,79.8147,-999.25,4
4692.5,P-2,Montara Fm,135.7285,22.767,2.7124,79.6583,-999.25,4
4693,P-2,Montara Fm,143.9828,25.3784,2.7201,79.4843,-999.25,4
4693.5,P-2,Montara Fm,139.4593,23.7426,2.7014,79.8646,-999.25,4
4694,P-2,Montara Fm,140.0587,25.5849,2.7029,78.9288,-999.25,4
4694.5,P-2,Montara Fm,141.7777,25.6641,2.7326,78.1304,-999.25,4
4695,P-2,Montara Fm,157.0057,24.63,2.7893,76.2076,-999.25,4
4695.5,P-2,Montara Fm,157.4702,24.8249,2.7126,78.7565,-999.25,4
4696,P-2,Montara Fm,143.9147,23.983,2.7056,77.7081,-999.25,4
4696.5,P-2,Montara Fm,140.9086,23.7367,2.7289,78.3022,-999.25,4
4697,P-2,Montara Fm,147.8599,24.4477,2.7087,80.2623,-999.25,4
4697.5,P-2,Montara Fm,144.9866,22.848,2.686,-999.25,-999.25,4
4698,P-2,Montara Fm,144.1892,21.4548,2.6846,-999.25,-999.25,4
4698.5,P-2,Montara Fm,142.7063,21.6382,2.7118,-999.25,-999.25,4
4699,P-2,Montara Fm,144.756,21.5074,2.706,-999.25,-999.25,4
4699.5,P-2,Montara Fm,159.8013,21.5123,2.7095,-999.25,-999.25,4
4700,P-2,Montara Fm,142.818,21.2775,2.7149,-999.25,-999.25,4
4700.5,P-2,Montara Fm,141.5648,20.8243,2.7017,-999.25,-999.25,4
4701,P-2,Montara Fm,139.9525,20.5341,2.6957,-999.25,-999.25,4
4701.5,P-2,Montara Fm,138.1083,19.5679,2.7248,-999.25,-999.25,4
4702,P-2,Montara Fm,139.1603,18.9124,2.6736,-999.25,-999.25,4
4702.5,P-2,Montara Fm,141.3881,21.1954,2.6814,-999.25,-999.25,4
4703,P-2,Montara Fm,139.3867,21.9109,2.7,-999.25,-999.25,4
4703.5,P-2,Montara Fm,137.8527,20.2813,2.6785,-999.25,-999.25,4
4704,P-2,Montara Fm,125.5505,16.6219,2.732,-999.25,-999.25,4
4704.5,P-2,Montara Fm,110.8732,8.8217,2.723,-999.25,-999.25,4
4705,P-2,Montara Fm,41.7095,5.5766,2.7145,-999.25,-999.25,4
4705.5,P-2,Montara Fm,53.4811,11.0167,2.6818,-999.25,-999.25,1
4706,P-2,Montara Fm,87.106,18.585,2.7045,63.5098,125.8618,1
4706.5,P-2,Montara Fm,114.0807,19.8786,2.6881,53.4385,94.4603,1
4707,P-2,Montara Fm,132.6039,9.4619,2.5873,56.3126,104.6554,1
4707.5,P-2,Montara Fm,76.1229,7.1419,2.5631,60.5667,112.1985,1
4708,P-2,Montara Fm,81.0515,17.316,2.5848,70.803,120.3025,1
4708.5,P-2,Montara Fm,127.5966,13.4399,2.4772,75.046,122.4664,1
4709,P-2,Montara Fm,139.8021,26.204,2.4744,62.8884,103.8287,1
4709.5,P-2,Montara Fm,116.6916,16.0775,2.6675,63.0548,103.7838,1
4710,P-2,Montara Fm,125.3781,15.5726,2.6931,69.4372,112.2988,1
4710.5,P-2,Montara Fm,126.3055,11.96,2.6987,62.964,112.0965,1
4711,P-2,Montara Fm,138.8235,12.1084,2.6644,62.9759,104.2732,1
4711.5,P-2,Montara Fm,109.994,22.6194,2.6812,63.4251,104.7284,1
4712,P-2,Montara Fm,140.9685,20.6613,2.6335,64.5951,111.8791,1
4712.5,P-2,Montara Fm,126.4982,18.8924,2.8576,63.8368,114.7385,1
4713,P-2,Montara Fm,114.1675,26.3593,2.8776,60.4092,104.3631,1
4713.5,P-2,Montara Fm,111.4095,34.4781,2.9068,59.3172,104.3572,1
4714,P-2,Montara Fm,31.4962,19.3287,2.7002,61.2628,101.6888,1
4714.5,P-2,Montara Fm,35.559,19.06,2.5388,64.2465,97.9967,1
4715,P-2,Montara Fm,32.1361,13.5713,2.5217,57.1052,91.7671,1
4715.5,P-2,Montara Fm,31.3643,12.1092,2.4847,62.4944,103.8391,1
4716,P-2,Montara Fm,31.741,12.5337,2.4595,61.3342,113.4048,1
4716.5,P-2,Montara Fm,47.3757,12.8375,2.4911,59.3838,86.0391,1
4717,P-2,Montara Fm,29.6451,10.8824,2.4986,61.9354,112.3364,1
4717.5,P-2,Montara Fm,34.2934,8.7237,2.5003,69.4869,112.8853,1
4718,P-2,Montara Fm,70.6361,15.176,2.5811,68.0027,120.0698,1
4718.5,P-2,Montara Fm,69.3677,15.7118,2.5281,72.5108,105.4049,1
4719,P-2,Montara Fm,82.2186,13.5538,2.5308,68.411,113.8977,1
4719.5,P-2,Montara Fm,72.541,18.8462,2.5173,66.3961,104.1538,1
4720,P-2,Montara Fm,56.1925,11.2505,2.5561,61.3463,93.8168,1
4720.5,P-2,Montara Fm,49.7643,10.6815,2.547,61.0947,112.086,1
4721,P-2,Montara Fm,66.1066,12.5198,2.5729,64.8406,103.9147,1
4721.5,P-2,Montara Fm,61.148,13.9566,2.5351,70.9229,113.9432,1
4722,P-2,Montara Fm,53.0812,13.0115,2.513,69.2021,104.8137,1
4722.5,P-2,Montara Fm,58.2663,11.2947,2.5627,71.4882,112.2006,1
4723,P-2,Montara Fm,61.3675,12.8541,2.6872,66.2711,112.7341,1
4723.5,P-2,Montara Fm,83.9675,14.0676,2.6551,62.1298,104.192,1
4724,P-2,Montara Fm,100.7296,18.1108,2.6113,59.4741,69.2618,1
4724.5,P-2,Montara Fm,62.6688,15.5867,2.4832,58.973,103.0819,1
4725,P-2,Montara Fm,54.6133,10.8957,2.5042,62.2767,86.2353,1
4725.5,P-2,Montara Fm,63.1749,11.3008,2.5053,62.9573,95.837,1
4726,P-2,Montara Fm,61.6099,12.6446,2.515,63.5093,90.0919,1
4726.5,P-2,Montara Fm,52.3178,11.4122,2.4851,60.428,98.2192,1
4727,P-2,Montara Fm,53.0401,12.2354,2.3499,60.8583,120.0355,1
4727.5,P-2,Montara Fm,48.9607,11.9199,2.4922,56.8105,105.1144,1
4728,P-2,Montara Fm,48.4995,13.773,2.4431,68.9264,125.2094,1
4728.5,P-2,Montara Fm,34.8569,13.8386,2.4537,63.1659,97.9423,1
4729,P-2,Montara Fm,42.3547,9.5442,2.4424,68.3305,101.4696,1
4729.5,P-2,Montara Fm,45.9056,10.5599,2.5384,65.6684,105.0117,1
4730,P-2,Montara Fm,44.5755,13.648,2.4006,66.967,111.0412,1
4730.5,P-2,Montara Fm,18.6297,13.4642,2.4689,69.0145,96.7033,1
4731,P-2,Montara Fm,12.2895,9.1812,2.3736,57.4868,89.7658,1
4731.5,P-2,Montara Fm,15.8272,7.7461,2.473,64.3566,105.4331,1
4732,P-2,Montara Fm,26.0648,11.7018,2.5318,65.0886,128.0776,1
4732.5,P-2,Montara Fm,28.1667,18.3521,2.6634,80.2796,151.1316,1
4733,P-2,Plover Fm,19.5644,45.6869,2.9165,76.8382,146.9666,1
4733.5,P-2,Plover Fm,24.8676,52.6359,2.897,74.1828,147.7987,1
4734,P-2,Plover Fm,20.3471,51.6196,2.848,72.27,140.7085,1
4734.5,P-2,Plover Fm,19.3644,51.088,2.739,76.9088,149.7102,1
4735,P-2,Plover Fm,22.249,50.9046,2.6258,77.9433,149.1041,1
4735.5,P-2,Plover Fm,23.4286,50.4163,2.704,72.6942,142.5961,1
