Depth,Well,Formation,GR,RS,RD,NPHI,RHOB,DTCO,DTSM,Electrofacies
4691,P-2,Montara Fm,138.5865,2.5712,2.5583,23.803,2.6905,78.9059,-999.25,4
4691.5,P-2,Montara Fm,136.8556,2.872,2.8299,22.8784,2.7204,79.0921,-999.25,4
4692,P-2,Montara Fm,136.648,2.9235,2.9266,23.0731,2.6939,79.8147,-999.25,4
4692.5,P-2,Montara Fm,135.7285,3.0977,3.0633,22.767,2.7124,79.6583,-999.25,4
4693,P-2,Montara Fm,143.9828,3,2.9266,25.3784,2.7201,79.4843,-999.25,4
4693.5,P-2,Montara Fm,139.4593,3.1396,3.098,23.7426,2.7014,79.8646,-999.25,4
4694,P-2,Montara Fm,140.0587,2.9155,2.8641,25.5849,2.7029,78.9288,-999.25,4
4694.5,P-2,Montara Fm,141.7777,3.1509,3.0651,25.6641,2.7326,78.1304,-999.25,4
4695,P-2,Montara Fm,157.0057,3.2728,3.1684,24.63,2.7893,76.2076,-999.25,4
4695.5,P-2,Montara Fm,157.4702,2.9542,2.8512,24.8249,2.7126,78.7565,-999.25,4
4696,P-2,Montara Fm,143.9147,2.8513,2.7925,23.983,2.7056,77.7081,-999.25,4
4696.5,P-2,Montara Fm,140.9086,2.9844,2.928,23.7367,2.7289,78.3022,-999.25,4
4697,P-2,Montara Fm,147.8599,2.6765,2.6311,24.4477,2.7087,80.2623,-999.25,4
4697.5,P-2,Montara Fm,144.9866,2.7251,2.688,22.848,2.686,-999.25,-999.25,4
4698,P-2,Montara Fm,144.1892,2.7665,2.7083,21.4548,2.6846,-999.25,-999.25,4
4698.5,P-2,Montara Fm,142.7063,2.7379,2.6884,21.6382,2.7118,-999.25,-999.25,4
4699,P-2,Montara Fm,144.756,2.9222,2.8429,21.5074,2.706,-999.25,-999.25,4
4699.5,P-2,Montara Fm,159.8013,2.8679,2.8118,21.5123,2.7095,-999.25,-999.25,4
4700,P-2,Montara Fm,142.818,2.9083,2.8553,21.2775,2.7149,-999.25,-999.25,4
4700.5,P-2,Montara Fm,141.5648,2.9898,2.9273,20.8243,2.7017,-999.25,-999.25,4
4701,P-2,Montara Fm,139.9525,3.1174,3.0376,20.5341,2.6957,-999.25,-999.25,4
4701.5,P-2,Montara Fm,138.1083,3.3665,3.3341,19.5679,2.7248,-999.25,-999.25,4
4702,P-2,Montara Fm,139.1603,3.4349,3.3501,18.9124,2.6736,-999.25,-999.25,4
